data_size,elapsed_time,status
2048,0.008628129959106445,success
2048,0.007673740386962891,success
2048,0.010820150375366211,success
2048,0.00843191146850586,success
2048,0.009922981262207031,success
2048,0.010368585586547852,success
2048,0.00941014289855957,success
2048,0.008285760879516602,success
2048,0.007792234420776367,success
2048,0.009052038192749023,success
2048,0.006911039352416992,success
2048,0.007200002670288086,success
2048,0.007982015609741211,success
2048,0.00755000114440918,success
2048,0.008491992950439453,success
2048,0.007317066192626953,success
2048,0.007387876510620117,success
2048,0.007436037063598633,success
2048,0.007596015930175781,success
2048,0.007462978363037109,success
2048,0.0071258544921875,success
2048,0.007607936859130859,success
2048,0.008188009262084961,success
2048,0.008894920349121094,success
2048,0.00959014892578125,success
2048,0.009653091430664062,success
2048,0.006247282028198242,success
2048,0.009587764739990234,success
2048,0.007305145263671875,success
2048,0.009955883026123047,success
2048,0.007654905319213867,success
2048,0.009098052978515625,success
2048,0.0075571537017822266,success
2048,0.007960081100463867,success
2048,0.010213851928710938,success
2048,0.0072209835052490234,success
2048,0.009869098663330078,success
2048,0.00814509391784668,success
2048,0.008433103561401367,success
2048,0.00826883316040039,success
2048,0.007384777069091797,success
2048,0.00956106185913086,success
2048,0.0085601806640625,success
2048,0.008538961410522461,success
2048,0.009454965591430664,success
2048,0.007821798324584961,success
2048,0.008629083633422852,success
2048,0.008764028549194336,success
2048,0.010163068771362305,success
2048,0.010367155075073242,success
